totalBorrowed,contact,communityScore,transactionIds,email,notificationToken,userLocation,referralCode,paymentMethodsUsed,referredBy,referredTo,name,deviceId,contactVerified,totalLent,emailVerified,personalScore
0,5647382901,0,,ajinkyasimple@rahane.com,,,Aji977096,"0,0,0,0,0",CM01,Anu680618,Ajinkya Rahane,36f513da586de4ce,false,0,false,0
,1111111111,0,,aaaaa@aaa.aaa,,,Anu680618,,Aji977096,,Anubhav Ajmera,306f44e7ec4e7890,false,,false,0
,0123456789,0,,testbeta13@gmail.com,,,tes142783,,tes300881,,testbeta13,6dafac99b6c0cf88,false,,false,0
0,0123456789,0,,testbeta11@gmail.com,,,tes204735,,tes384346,tes501908,testbeta11,6dafac99b6c0cf88,false,0,false,0
0,0123456789,0,,testbeta3@gmail.com,,,tes228559,,tes337548,tes548599,testbeta3,6dafac99b6c0cf88,false,0,false,0
0,0123456789,0,,testbeta10@gmail.com,,,tes300881,,tes415819,"tes142783,tes659184",testbeta10,6dafac99b6c0cf88,false,0,false,0
0,1234567890,0,,testbeta1@gmail.com,,,tes337548,,CM01,"tes43941,tes228559,tes458234,tes772714",testbeta1,e4723d6a05d27dd0,false,0,false,0
0,0123456789,0,,testbeta9@gmail.com,,,tes384346,,tes43941,tes204735,testbeta9,6dafac99b6c0cf88,false,0,false,0
,0123456789,0,,testbeta7@gmail.com,,,tes388815,,tes772714,,testbeta7,6dafac99b6c0cf88,false,,false,0
0,0123456789,0,,testbeta8@gmail.com,,,tes415819,,tes43941,tes300881,testbeta8,6dafac99b6c0cf88,false,0,false,0
0,0123456789,0,,testbeta2@gmail.com,,,tes43941,,tes337548,"tes846360,tes415819,tes384346",testbeta2,6dafac99b6c0cf88,false,0,false,0
,0123456789,0,,testbeta5@gmail.com,,,tes458234,,tes337548,,testbeta5,6dafac99b6c0cf88,false,,false,0
,0123456789,0,,testbeta16@gmail.com,,,tes501908,,tes204735,,testbeta16,6dafac99b6c0cf88,false,,false,0
0,1234567890,0,,testbeta17@gmail.com,,,tes548599,,tes228559,,testbeta17,6dafac99b6c0cf88,true,0,true,0
,0123456789,0,,testbeta15@gmail.com,,,tes659184,,tes300881,,testbeta15,6dafac99b6c0cf88,false,,false,0
0,0123456789,0,,testbeta6@gmail.com,,,tes772714,,tes337548,"tes388815,tes990748",testbeta6,6dafac99b6c0cf88,false,0,false,0
,0123456789,0,,testbeta14@gmail.com,,,tes782694,,tes846360,,testbeta14,6dafac99b6c0cf88,false,,false,0
0,0123456789,0,,testbeta4@gmail.com,,,tes846360,,tes43941,tes782694,testbeta4,6dafac99b6c0cf88,false,0,false,0
,0123456789,0,,testbeta12@gmail.com,,,tes990748,,tes772714,,testbeta12,6dafac99b6c0cf88,false,,false,0
